time,miners_revenue
1640217600000,42746935.71051971
1640304000000,44417341.477010205
1640390400000,45014414.32098614
1640476800000,46409351.79410226
1640563200000,46138565.230107486
1640649600000,46870810.02183975
1640736000000,46158042.9489947
1640822400000,45890083.538195245
1640908800000,44175134.16502434
1640995200000,43541361.59967155
1641081600000,43975633.81203771
1641168000000,44767954.2531051
1641254400000,43953788.69819172
1641340800000,43943119.31636693
1641427200000,43915013.937230036
1641513600000,44623775.09733273
1641600000000,43709908.56684834
1641686400000,41942595.06893623
1641772800000,40351326.23639272
1641859200000,39733314.97360225
1641945600000,39523376.4665797
1642032000000,38650676.444605894
1642118400000,39979742.81329111
1642204800000,40600401.60507784
1642291200000,41637250.54741432
1642377600000,43122702.94691463
1642464000000,43998320.22751086
1642550400000,43185456.35989153
1642636800000,44496318.69973968
1642723200000,44058403.11158762
1642809600000,42670839.32431136
1642896000000,40538652.51499904
1642982400000,38255631.96888243
1643068800000,36836353.13547285
1643155200000,36687970.781059325
1643241600000,34482717.99837964
1643328000000,32153029.510172885
1643414400000,32603571.94291095
1643500800000,33399811.051050443
1643587200000,33977025.70168579
1643673600000,34018610.110555306
1643760000000,34388028.8900864
1643846400000,35174734.79619305
1643932800000,35810057.0958926
1644019200000,35197525.867892064
1644105600000,34597920.90391623
1644192000000,35377362.56182448
1644278400000,35830307.67611151
1644364800000,36652027.79777459
1644451200000,37055893.32460074
1644537600000,38049219.512959056
1644624000000,39153536.27998166
1644710400000,41801722.10711887
1644796800000,41978339.8196491
1644883200000,42485434.09440021
1644969600000,43215124.972535096
1645056000000,43819451.35076327
1645142400000,43946116.318634056
1645228800000,43183616.69048315
1645315200000,41410096.08996291
1645401600000,40403821.27513417
1645488000000,38859043.141608045
1645574400000,37191986.677534446
1645660800000,36084146.58910931
1645747200000,34388847.365640275
1645833600000,34212654.50739249
1645920000000,33688115.50503502
1646006400000,33405706.562124785
1646092800000,34575550.10045093
1646179200000,35741118.191271
1646265600000,36118491.42322817
1646352000000,37576506.09232999
1646438400000,38052150.261271484
1646524800000,37638917.349005535
1646611200000,37517559.01269976
1646697600000,37177751.51698709
1646784000000,35918841.09127795
1646870400000,35558834.82689601
1646956800000,34939521.48382628
1647043200000,34679802.26719153
1647129600000,35735388.36803742
1647216000000,36535833.166290656
1647302400000,36756232.10815543
1647388800000,36487283.93416749
1647475200000,37002599.14796158
1647561600000,37659507.25288948
1647648000000,38008561.57259078
1647734400000,38359345.387235664
1647820800000,38701867.49663743
1647907200000,39034708.3272361
1647993600000,39829185.078814365
1648080000000,39670846.950739525
1648166400000,39395282.08495838
1648252800000,40366307.66719686
1648339200000,41039331.469442606
1648425600000,40648905.22774871
1648512000000,41767956.41591386
1648598400000,42545333.925388135
1648684800000,42773327.53023589
1648771200000,43042313.58239798
1648857600000,42642453.2109657
1648944000000,41900991.54785554
1649030400000,42344379.99270112
1649116800000,42124883.32262923
1649203200000,41811068.35453564
1649289600000,42177716.33573179
1649376000000,41804085.31677126
1649462400000,41284473.94629542
1649548800000,41360182.990273364
1649635200000,40930110.659859136
1649721600000,39472220.00129142
1649808000000,38825758.37058801
1649894400000,37824126.12272144
1649980800000,37417020.896810554
1650067200000,37811977.428452305
1650153600000,36832894.97099615
1650240000000,37419210.30614683
1650326400000,37098299.238617375
1650412800000,36184200.50357886
1650499200000,37026013.50136046
1650585600000,38297050.782096945
1650672000000,37479485.08964555
1650758400000,38430730.091424815
1650844800000,38548393.138586566
1650931200000,39510556.46617765
1651017600000,39943312.06492912
1651104000000,40065539.97940556
1651190400000,38441321.025953725
1651276800000,38853954.40987314
1651363200000,38323317.618542284
1651449600000,38021761.210025296
1651536000000,37853057.06613509
1651622400000,37999032.24766108
1651708800000,37026468.199953124
1651795200000,37813279.14133867
1651881600000,37232325.651164606
1651968000000,36599697.21051103
1652054400000,35663820.874025986
1652140800000,34688409.60997372
1652227200000,33860476.594683245
1652313600000,32784641.644539654
1652400000000,30823105.314056657
1652486400000,30325343.342242513
1652572800000,29480074.448342808
1652659200000,28137826.13528536
1652745600000,28065191.656926308
1652832000000,27769811.498101633
1652918400000,27335976.418828774
1653004800000,27125363.017578688
1653091200000,26367750.920934647
1653177600000,26196041.130115848
1653264000000,25971832.02603447
1653350400000,25808010.716306124
1653436800000,24955985.902996007
1653523200000,25249456.40090527
1653609600000,25684655.57632115
1653696000000,25831701.775982615
1653782400000,26057692.785896044
1653868800000,26686952.087062947
1653955200000,26569077.88893974
1654041600000,27560282.423160814
1654128000000,27513908.75203473
1654214400000,27170463.704519033
1654300800000,27448997.334180463
1654387200000,27377950.324351314
1654473600000,27443829.862433426
1654560000000,27487489.914429843
1654646400000,27682168.254827023
1654732800000,28717953.560388856
1654819200000,29267728.871637452
1654905600000,29314285.19918028
1654992000000,29540475.101442922
1655078400000,28782628.42064811
1655164800000,27493429.840367854
1655251200000,26073460.174756356
1655337600000,24398605.777025055
1655424000000,22756010.400025543
1655510400000,20856056.430393152
1655596800000,19571944.48158119
1655683200000,18668003.66368404
1655769600000,18136413.14894514
1655856000000,18023705.613868244
1655942400000,17186339.91754836
1656028800000,17700044.36673108
1656115200000,18153419.4795658
1656201600000,18320076.24047995
1656288000000,18674688.882261213
1656374400000,18794089.824936032
1656460800000,18717813.820455603
1656547200000,19088199.93947921
1656633600000,19225699.428666275
1656720000000,19105312.299668483
1656806400000,18608021.305211723
1656892800000,18613586.9442247
1656979200000,18544121.432362575
1657065600000,17925894.03232534
1657152000000,17566457.881598633
1657238400000,17549625.742348153
1657324800000,18103606.95873359
1657411200000,18373163.92388672
1657497600000,18662543.840036295
1657584000000,18429442.66178107
1657670400000,19016367.864959877
1657756800000,18609244.701647762
1657843200000,17957781.668337453
1657929600000,17723085.440434206
1658016000000,17852924.21558813
1658102400000,17358355.88778472
1658188800000,17676221.310196064
1658275200000,17778942.107332192
1658361600000,18523678.976343274
1658448000000,19160725.337378353
1658534400000,19249877.7337512
1658620800000,19574734.10912044
1658707200000,20306156.477078784
1658793600000,20558197.161751963
1658880000000,20754548.664500166
1658966400000,21225710.67956769
1659052800000,21286793.741379406
1659139200000,21654409.360116888
1659225600000,21333136.94590202
1659312000000,21383094.901349414
1659398400000,21381525.355833244
1659484800000,21601658.80776311
1659571200000,21443812.14639187
1659657600000,21165488.302032955
1659744000000,21147769.018582392
1659830400000,21715065.19089905
1659916800000,21808411.045810588
1660003200000,22096344.313015368
1660089600000,21898235.121830817
1660176000000,22000231.740982752
1660262400000,22364726.662539184
1660348800000,22571438.51806139
1660435200000,22279620.6114405
1660521600000,21866926.78936379
1660608000000,21891803.14577279
1660694400000,22027576.52692736
1660780800000,21709646.018264968
1660867200000,21656461.200497955
1660953600000,21821961.51882637
1661040000000,21580256.774794456
1661126400000,21451225.61135192
1661212800000,21137331.50757477
1661299200000,21250258.07573486
1661385600000,21245496.548974313
1661472000000,21286174.27107627
1661558400000,21137805.84378342
1661644800000,20925135.195260424
1661731200000,21049826.63645825
1661817600000,21016404.154968806
1661904000000,20681638.508056555
1661990400000,20565065.492454134
1662076800000,19966192.13121477
1662163200000,18961270.158151306
1662249600000,18973625.62544345
1662336000000,19040748.836591683
1662422400000,18955364.85704994
1662508800000,18500079.429093596
1662595200000,18292754.14356857
1662681600000,18015836.97382037
1662768000000,18420676.16488513
1662854400000,18813643.23902311
1662940800000,19412132.103498995
1663027200000,19732147.612292968
1663113600000,19899156.83573265
1663200000000,19737385.077312328
1663286400000,20186191.508050136
1663372800000,19721753.602502905
1663459200000,19834847.320055734
1663545600000,19038260.943038963
1663632000000,18246624.017179776
1663718400000,18199039.608526625
1663804800000,18292503.807414036
1663891200000,17818669.842569757
1663977600000,17851867.28258089
1664064000000,17222566.02940177
1664150400000,17009473.201794516
1664236800000,17390852.683267724
1664323200000,17098299.711902928
1664409600000,17262649.151773248
1664496000000,17579816.072968554
1664582400000,18233163.33620561
1664668800000,18906726.447175838
1664755200000,19039071.46124921
1664841600000,19072861.246092558
1664928000000,19643976.54592209
1665014400000,20219077.599120952
1665100800000,20592371.19125927
1665187200000,20644958.182205994
1665273600000,20550274.065409858
1665360000000,20657747.807204373
1665446400000,20891127.48157581
1665532800000,20761848.38892277
1665619200000,19950808.688162845
1665705600000,19536654.033984274
1665792000000,19253788.186351012
1665878400000,18812376.49957462
1665964800000,18503599.98217443
1666051200000,18215322.18664291
1666137600000,17931561.7648543
1666224000000,18241051.06324052
1666310400000,18311378.5047842
1666396800000,18236232.608968444
1666483200000,17933835.559139576
1666569600000,18101924.930224717
1666656000000,17854171.50584662
1666742400000,17519455.754340563
1666828800000,17759757.911792703
1666915200000,17752459.620504506
1667001600000,18014486.611561067
1667088000000,18357694.064741824
1667174400000,18207478.847005483
1667260800000,19034200.572821043
1667347200000,19573163.933848295
1667433600000,18934832.16225406
1667520000000,19455717.128226902
1667606400000,18946808.089172717
1667692800000,19173784.1878017
1667779200000,19275828.419722255
1667865600000,18784628.328624807
1667952000000,18976505.2348548
1668038400000,19095569.77898341
1668124800000,18315064.999018367
1668211200000,18001561.227100108
1668297600000,17629584.625856202
1668384000000,16948942.288485806
1668470400000,16116124.133886853
1668556800000,15622622.645307807
1668643200000,15548464.317455228
1668729600000,15424648.423767531
1668816000000,15476814.957297063
1668902400000,15170850.155670939
1668988800000,15494770.209829133
1669075200000,15539172.230557846
1669161600000,14973814.800570343
1669248000000,14825904.355045155
1669334400000,14647236.77360627
1669420800000,14341751.026536915
1669507200000,13762035.539533874
1669593600000,13530016.554855252
1669680000000,13721638.644207062
1669766400000,13842988.838989308
1669852800000,13819057.05106133
1669939200000,14308372.261936149
1670025600000,14395988.825955132
1670112000000,14770960.401139934
1670198400000,14888920.931146173
1670284800000,15055198.229684988
1670371200000,15185031.367949482
1670457600000,15676570.37071291
1670544000000,15771793.397997266
1670630400000,16208848.070591886
1670716800000,16649587.378146814
1670803200000,16753489.214796433
1670889600000,16666031.357647257
1670976000000,17176785.838699337
1671062400000,16940854.746655498
1671148800000,16610938.561971726
1671235200000,16276189.344911298
1671321600000,15985911.4677569
1671408000000,15908441.990036372
1671494400000,15775732.061230447
1671580800000,15333381.957459105
1671667200000,15119936.008695552
1671753600000,14950934.99663508
1671840000000,14913183.454178346
1671926400000,14132299.410268048
1672012800000,14090067.352265391
1672099200000,14033797.469775578
1672185600000,13646061.175592681
1672272000000,14005301.857024819
1672358400000,14081217.714193849
1672444800000,14441566.140200678
1672531200000,15368668.38587497
1672617600000,15525755.62256284
1672704000000,15860503.972324576
1672790400000,16435017.647638956
1672876800000,16102116.22959278
1672963200000,16418375.268098995
1673049600000,16828704.6113952
1673136000000,16870663.493613917
1673222400000,16893272.222137433
1673308800000,16910532.917211138
1673395200000,17219116.04211319
1673481600000,17323800.74477414
1673568000000,17388709.119171895
1673654400000,17347504.288844787
1673740800000,18186581.921106
1673827200000,18905023.921227943
1673913600000,19333121.96314048
1674000000000,19658675.38843587
1674086400000,20068220.914404243
1674172800000,20293973.81988724
1674259200000,20142665.08430056
1674345600000,19795022.76719938
1674432000000,19863258.659640912
1674518400000,20335069.4888435
1674604800000,20044801.325907357
1674691200000,20982335.677313793
1674777600000,21467912.78282125
1674864000000,22066371.78246361
1674950400000,22685347.625593998
1675036800000,22965788.367698792
1675123200000,22606269.969880443
1675209600000,22325640.983845454
1675296000000,21564121.100086216
1675382400000,21489218.980285045
1675468800000,21196470.82474781
1675555200000,20612668.593807567
1675641600000,20410784.113922715
1675728000000,20592243.85653254
1675814400000,21199432.43089849
1675900800000,21200221.42467297
1675987200000,21376228.893252555
1676073600000,21403850.99156571
1676160000000,21452357.76688646
1676246400000,21456280.407519136
1676332800000,21462894.842199337
1676419200000,21526178.23897897
1676505600000,22029273.11645022
1676592000000,22737711.841570284
1676678400000,23472127.294997998
1676764800000,24278983.30608294
1676851200000,24738981.23227054
1676937600000,25076066.224689722
1677024000000,25771068.77616846
1677110400000,25427560.60520365
1677196800000,25181012.624080777
1677283200000,24424317.87832718
1677369600000,22958685.094689514
1677456000000,22836785.483481742
1677542400000,22455914.140903525
1677628800000,21615687.963722635
1677715200000,22261396.285831016
1677801600000,21560252.26769811
1677888000000,22101095.014285766
1677974400000,22938326.346634
1678060800000,22596459.788856033
1678147200000,22305008.239341233
1678233600000,22731500.6255883
1678320000000,21722965.87791858
1678406400000,21348954.794453062
1678492800000,20447735.885713417
1678579200000,20380968.857688695
1678665600000,20209134.848420504
1678752000000,20747188.579023145
1678838400000,20795712.340005662
1678924800000,21446647.09631313
1679011200000,21800151.852129187
1679097600000,22855301.706787486
1679184000000,23879260.893491864
1679270400000,24635172.639197867
1679356800000,25283840.622851882
1679443200000,25646865.739053387
1679529600000,26466892.56411121
1679616000000,28289145.05055499
1679702400000,28896654.973948322
1679788800000,28483850.85784945
1679875200000,28349782.90189714
1679961600000,28137672.27608498
1680048000000,27692282.4689745
1680134400000,27315922.913772516
1680220800000,26507679.10675348
1680307200000,25967800.202965092
1680393600000,25970098.591244332
1680480000000,26234115.454880144
1680566400000,25884773.549147744
1680652800000,26789492.715608716
1680739200000,26638464.97079781
1680825600000,26835122.720099043
1680912000000,26853580.56385821
1680998400000,26979918.67617395
1681084800000,26779535.838938866
1681171200000,26614227.486507494
1681257600000,26695158.41559418
1681344000000,27438826.506920297
1681430400000,27098065.0457091
1681516800000,27397156.52349704
1681603200000,28019160.38786044
1681689600000,27730966.02958551
1681776000000,28766392.34885362
1681862400000,28961194.456527777
1681948800000,28336543.362377413
1682035200000,27888631.68462866
1682121600000,27608710.587658428
1682208000000,26889151.2956475
1682294400000,27142391.500805322
1682380800000,26479977.35869616
