time,n_transactions_total
1642809600000,703588546.2857143
1642896000000,703843948.2857143
1642982400000,704101622.8571428
1643068800000,704357746.5714285
1643155200000,704615340.1428572
1643241600000,704873028.0
1643328000000,705129588.7142857
1643414400000,705383617.0
1643500800000,705636764.8571428
1643587200000,705887068.7142857
1643673600000,706137865.1428572
1643760000000,706387496.2857143
1643846400000,706638216.5714285
1643932800000,706891445.1428572
1644019200000,707146350.7142857
1644105600000,707398809.8571428
1644192000000,707655249.7142857
1644278400000,707913139.4285715
1644364800000,708171046.7142857
1644451200000,708429425.2857143
1644537600000,708685989.4285715
1644624000000,708942001.8571428
1644710400000,709199277.0
1644796800000,709452272.5714285
1644883200000,709704135.2857143
1644969600000,709953835.1428572
1645056000000,710203096.8571428
1645142400000,710452501.7142857
1645228800000,710700917.8571428
1645315200000,710949803.0
1645401600000,711197636.7142857
1645488000000,711444079.4285715
1645574400000,711689221.1428572
1645660800000,711932271.8571428
1645747200000,712173274.2857143
1645833600000,712413966.8571428
1645920000000,712654804.5714285
1646006400000,712895562.0
1646092800000,713137625.4285715
1646179200000,713384466.1428572
1646265600000,713634292.8571428
1646352000000,713889316.5714285
1646438400000,714146540.1428572
1646524800000,714403950.5714285
1646611200000,714661888.7142857
1646697600000,714919361.2857143
1646784000000,715174704.1428572
1646870400000,715426577.7142857
1646956800000,715676152.8571428
1647043200000,715924696.5714285
1647129600000,716171770.8571428
1647216000000,716419033.8571428
1647302400000,716666364.8571428
1647388800000,716914300.5714285
1647475200000,717163400.0
1647561600000,717413039.4285715
1647648000000,717664826.4285715
1647734400000,717918049.8571428
1647820800000,718173738.5714285
1647907200000,718430006.5714285
1647993600000,718685890.0
1648080000000,718942062.5714285
1648166400000,719196496.5714285
1648252800000,719449031.0
1648339200000,719705631.5714285
1648425600000,719960417.2857143
1648512000000,720216234.0
1648598400000,720477010.8571428
1648684800000,720741053.4285715
1648771200000,721006195.7142857
1648857600000,721273494.5714285
1648944000000,721540035.5714285
1649030400000,721810041.8571428
1649116800000,722080790.4285715
1649203200000,722349264.2857143
1649289600000,722615475.7142857
1649376000000,722882026.4285715
1649462400000,723147074.1428572
1649548800000,723409707.5714285
1649635200000,723669166.5714285
1649721600000,723927625.1428572
1649808000000,724186118.8571428
1649894400000,724445380.2857143
1649980800000,724705159.8571428
1650067200000,724964353.2857143
1650153600000,725221835.4285715
1650240000000,725478249.5714285
1650326400000,725733312.0
1650412800000,725984048.4285715
1650499200000,726234114.0
1650585600000,726485241.2857143
1650672000000,726738903.0
1650758400000,726993159.2857143
1650844800000,727249073.7142857
1650931200000,727506887.7142857
1651017600000,727769236.1428572
1651104000000,728031506.0
1651190400000,728293996.4285715
1651276800000,728555547.2857143
1651363200000,728821114.8571428
1651449600000,729090111.1428572
1651536000000,729360734.2857143
1651622400000,729630365.8571428
1651708800000,729900969.7142857
1651795200000,730163719.5714285
1651881600000,730432242.2857143
1651968000000,730700409.5714285
1652054400000,730964690.2857143
1652140800000,731228964.4285715
1652227200000,731494686.8571428
1652313600000,731760387.1428572
1652400000000,732030224.0
1652486400000,732294298.0
1652572800000,732556002.2857143
1652659200000,732825914.7142857
1652745600000,733096315.7142857
1652832000000,733365637.2857143
1652918400000,733634787.0
1653004800000,733904036.2857143
1653091200000,734171432.1428572
1653177600000,734438570.1428572
1653264000000,734696151.7142857
1653350400000,734949993.8571428
1653436800000,735202711.2857143
1653523200000,735449325.1428572
1653609600000,735699773.0
1653696000000,735950274.0
1653782400000,736201157.1428572
1653868800000,736452492.5714285
1653955200000,736703713.4285715
1654041600000,736955721.8571428
1654128000000,737213503.4285715
1654214400000,737468874.4285715
1654300800000,737724516.4285715
1654387200000,737980027.7142857
1654473600000,738234304.8571428
1654560000000,738487595.5714285
1654646400000,738740280.2857143
1654732800000,738991325.5714285
1654819200000,739241023.4285715
1654905600000,739490326.7142857
1654992000000,739738509.0
1655078400000,739988273.7142857
1655164800000,740240153.0
1655251200000,740492774.4285715
1655337600000,740747956.7142857
1655424000000,741007980.0
1655510400000,741266758.7142857
1655596800000,741523897.2857143
1655683200000,741783608.4285715
1655769600000,742041010.0
1655856000000,742293496.4285715
1655942400000,742541890.5714285
1656028800000,742784310.2857143
1656115200000,743027065.1428572
1656201600000,743270380.0
1656288000000,743509560.7142857
1656374400000,743749615.2857143
1656460800000,743992553.0
1656547200000,744235006.4285715
1656633600000,744478794.7142857
1656720000000,744724932.5714285
1656806400000,744973668.2857143
1656892800000,745224727.7142857
1656979200000,745475654.1428572
1657065600000,745724263.7142857
1657152000000,745972208.1428572
1657238400000,746220529.4285715
1657324800000,746470257.4285715
1657411200000,746719445.5714285
1657497600000,746966645.8571428
1657584000000,747212948.4285715
1657670400000,747457386.7142857
1657756800000,747706092.0
1657843200000,747948731.2857143
1657929600000,748191974.5714285
1658016000000,748435355.5714285
1658102400000,748679437.1428572
1658188800000,748923993.0
1658275200000,749171347.4285715
1658361600000,749419322.2857143
1658448000000,749672420.4285715
1658534400000,749923750.7142857
1658620800000,750174215.1428572
1658707200000,750424391.4285715
1658793600000,750674317.0
1658880000000,750925098.1428572
1658966400000,751173430.1428572
1659052800000,751421348.0
1659139200000,751671287.0
1659225600000,751923732.2857143
1659312000000,752177360.0
1659398400000,752432377.1428572
1659484800000,752686692.1428572
1659571200000,752941474.5714285
1659657600000,753199970.7142857
1659744000000,753457357.0
1659830400000,753713016.8571428
1659916800000,753969169.5714285
1660003200000,754223628.4285715
1660089600000,754478942.7142857
1660176000000,754732735.4285715
1660262400000,754984075.5714285
1660348800000,755236480.1428572
1660435200000,755489456.5714285
1660521600000,755742228.5714285
1660608000000,755995934.1428572
1660694400000,756247645.1428572
1660780800000,756502074.5714285
1660867200000,756755135.4285715
1660953600000,757008894.8571428
1661040000000,757263617.7142857
1661126400000,757516713.2857143
1661212800000,757769872.1428572
1661299200000,758024186.5714285
1661385600000,758276019.5714285
1661472000000,758528010.0
1661558400000,758775447.5714285
1661644800000,759020443.5714285
1661731200000,759265813.0
1661817600000,759510615.2857143
1661904000000,759755949.2857143
1661990400000,760002036.8571428
1662076800000,760248641.8571428
1662163200000,760496186.2857143
1662249600000,760744873.5714285
1662336000000,760996042.7142857
1662422400000,761247814.4285715
1662508800000,761499065.4285715
1662595200000,761751099.4285715
1662681600000,762003728.2857143
1662768000000,762255908.7142857
1662854400000,762511029.2857143
1662940800000,762765852.4285715
1663027200000,763022825.8571428
1663113600000,763282775.2857143
1663200000000,763541464.0
1663286400000,763800809.4285715
1663372800000,764062323.5714285
1663459200000,764319376.1428572
1663545600000,764577385.0
1663632000000,764834334.4285715
1663718400000,765088723.0
1663804800000,765344766.0
1663891200000,765599583.8571428
1663977600000,765849581.8571428
1664064000000,766102678.2857143
1664150400000,766353144.1428572
1664236800000,766603255.2857143
1664323200000,766854509.0
1664409600000,767105805.2857143
1664496000000,767357434.2857143
1664582400000,767612137.4285715
1664668800000,767867749.7142857
1664755200000,768125051.0
1664841600000,768382861.8571428
1664928000000,768642541.5714285
1665014400000,768903341.0
1665100800000,769164723.2857143
1665187200000,769427647.8571428
1665273600000,769687974.7142857
1665360000000,769947703.7142857
1665446400000,770206931.2857143
1665532800000,770463736.8571428
1665619200000,770718974.0
1665705600000,770973362.8571428
1665792000000,771228382.4285715
1665878400000,771485433.0
1665964800000,771743152.7142857
1666051200000,772001197.7142857
1666137600000,772259800.7142857
1666224000000,772516898.2857143
1666310400000,772774292.1428572
1666396800000,773029323.7142857
1666483200000,773282204.0
1666569600000,773534077.7142857
1666656000000,773786534.2857143
1666742400000,774039539.7142857
1666828800000,774291467.7142857
1666915200000,774549422.2857143
1667001600000,774807759.8571428
1667088000000,775067961.4285715
1667174400000,775330836.8571428
1667260800000,775594392.0
1667347200000,775860879.2857143
1667433600000,776130985.5714285
1667520000000,776394334.8571428
1667606400000,776661823.5714285
1667692800000,776929227.5714285
1667779200000,777197140.5714285
1667865600000,777465340.5714285
1667952000000,777730546.8571428
1668038400000,777998793.1428572
1668124800000,778271781.5714285
1668211200000,778544393.5714285
1668297600000,778817281.1428572
