time,hash_rate
1648771200000,201843995.54705414
1648857600000,200055608.69370246
1648944000000,196074384.86327413
1649030400000,198753839.0238673
1649116800000,199831771.35150808
1649203200000,199830199.9832681
1649289600000,203962954.3487227
1649376000000,204228810.4583426
1649462400000,202807735.23646548
1649548800000,206461928.66414955
1649635200000,206664939.410132
1649721600000,202401713.7445006
1649808000000,204025799.71236017
1649894400000,201995692.25253567
1649980800000,201764820.10052854
1650067200000,206231769.11502814
1650153600000,202030821.95948437
1650240000000,206682824.99703255
1650326400000,205730049.7772079
1650412800000,199524647.62317377
1650499200000,203174423.1614768
1650585600000,209265101.84239313
1650672000000,204654855.3458653
1650758400000,210467774.84148735
1650844800000,211670447.84058157
1650931200000,217282921.83635455
1651017600000,220490049.83393914
1651104000000,223151676.63397452
1651190400000,217205475.81420332
1651276800000,221882934.0785788
1651363200000,220947918.3471813
1651449600000,222006266.70131093
1651536000000,223387536.51936215
1651622400000,227062767.28449246
1651708800000,223221125.23276678
1651795200000,228510725.356766
1651881600000,226818053.31708622
1651968000000,225336965.28236642
1652054400000,222797957.22284678
1652140800000,221740037.19804692
1652227200000,222405823.2016665
1652313600000,223694215.31912464
1652400000000,220435896.70329112
1652486400000,224124125.5157015
1652572800000,225159554.97654673
1652659200000,219439331.6882816
1652745600000,223040112.45069075
1652832000000,223260239.8804358
1652918400000,220819024.53383064
1653004800000,217933951.85147908
1653091200000,212607663.82252234
1653177600000,211276091.81528312
1653264000000,211276091.81528312
1653350400000,210388377.14379033
1653436800000,204396303.111214
1653523200000,206058024.37013593
1653609600000,208919208.29777458
1653696000000,209811873.80523428
1653782400000,211274193.34738085
1653868800000,215833901.04285884
1653955200000,213021896.71405497
1654041600000,217388515.33233958
1654128000000,214863256.63167837
1654214400000,211466209.09599966
1654300800000,212527786.45089927
1654387200000,210616947.21207997
1654473600000,209980000.79914021
1654560000000,209130738.91522053
1654646400000,212527786.45089927
1654732800000,221710849.35993642
1654819200000,226569564.11309776
1654905600000,227821656.20112506
1654992000000,231428400.86060324
1655078400000,227742430.28560153
1655164800000,224497532.7017069
1655251200000,221500575.0286112
1655337600000,218926817.1295411
1655424000000,213120310.1919206
1655510400000,204733133.50424665
1655596800000,205163245.12925556
1655683200000,206453580.00428233
1655769600000,206238524.19177788
1655856000000,207098747.44179574
1655942400000,199225068.13131642
1656028800000,205552146.51440838
1656115200000,209415032.50849795
1656201600000,207575054.24950954
1656288000000,207951469.1457251
1656374400000,208122956.69561458
1656460800000,206523355.41457653
1656547200000,210621554.15352726
1656633600000,214611394.16241762
1656720000000,215661352.05949402
1656806400000,212931461.52709538
1656892800000,216501318.3771552
1656979200000,217971259.43306217
1657065600000,212091495.2094343
1657152000000,207051697.30346754
1657238400000,203649440.84828922
1657324800000,206150660.12152672
1657411200000,204913526.098668
1657497600000,204040060.4107685
1657584000000,199475664.43634865
1657670400000,205957831.904181
1657756800000,202061941.86328736
1657843200000,195227065.7617347
1657929600000,193984899.91383395
1658016000000,196883286.89226907
1658102400000,190879485.2940821
1658188800000,192535706.42461643
1658275200000,189844347.08749813
1658361600000,193156789.3485668
1658448000000,195940740.74745545
1658534400000,192501653.20028925
1658620800000,192146872.725192
1658707200000,197350729.22169366
1658793600000,198155524.32899836
1658880000000,201050967.42706078
1658966400000,207414031.52091783
1659052800000,206687410.85855284
1659139200000,209440620.89853355
1659225600000,204524174.39856797
1659312000000,203540885.09857488
1659398400000,202360937.93858317
1659484800000,201377648.63859004
1659571200000,197444491.43861756
1659657600000,195883411.57910657
1659744000000,197183586.16781405
1659830400000,204027840.66738862
1659916800000,205948801.42501473
1660003200000,208015065.72776818
1660089600000,206144749.20955777
1660176000000,207241418.6962838
1660262400000,209085147.63459495
1660348800000,209885473.55855513
1660435200000,205483680.97677416
1660521600000,200281562.47103304
1660608000000,200481643.95202306
1660694400000,201482051.35697326
1660780800000,197680503.21816245
1660867200000,198583863.88429472
1660953600000,203609480.20984396
1661040000000,205797516.6853986
1661126400000,208582028.04018536
1661212800000,208764223.62085554
1661299200000,213782300.81892878
1661385600000,217367138.0976757
1661472000000,220465112.44846842
1661558400000,220062436.44399634
1661644800000,219257084.43505216
1661731200000,222277154.46859285
1661817600000,224693210.49542537
1661904000000,222679830.4730649
1661990400000,224693437.70258546
1662076800000,223038282.22668257
1662163200000,215980538.09018245
1662249600000,219123957.26816863
1662336000000,223665601.19640848
1662422400000,225712859.42928508
1662508800000,224333620.00115603
1662595200000,225042111.4337651
1662681600000,222622303.78393966
1662768000000,226581989.02910858
